"log_time","user_created_time","impact_category","logged_value"
2024-01-18 02:42:47.233 +1100,2023-06-28 03:46:07.052 +1000,energy_level_upon_awakening,8.3
2024-01-18 02:42:54.665 +1100,2023-06-28 03:46:07.052 +1000,mood,9
2023-09-29 18:46:32.849 +1000,2023-09-26 23:36:29.242 +1000,mood,7.08
2023-10-01 07:03:51.936 +1100,2023-09-26 23:36:29.242 +1000,hours_of_sleep,5
2024-03-21 19:58:13.666 +1100,2024-01-30 00:50:40.963 +1100,energy_level_upon_awakening,7.73
2023-11-01 12:20:55.430 +1100,2023-10-31 22:19:31.023 +1100,energy_level_upon_awakening,10
2023-10-08 00:36:18.197 +1100,2023-10-03 21:55:53.019 +1100,hours_of_sleep,6
2024-01-18 03:18:06.225 +1100,2024-01-10 16:31:41.513 +1100,hours_of_sleep,9
2024-01-18 03:18:22.134 +1100,2024-01-10 16:31:41.513 +1100,mood,4
2024-01-18 03:18:15.836 +1100,2024-01-10 16:31:41.513 +1100,energy_level_upon_awakening,6
2024-01-19 23:31:41.286 +1100,2023-12-28 10:18:52.738 +1100,energy_level_upon_awakening,7.02
2023-10-01 07:03:58.643 +1100,2023-09-26 23:36:29.242 +1000,energy_level_upon_awakening,2.17
2024-03-21 19:58:20.129 +1100,2024-01-30 00:50:40.963 +1100,mood,8.59
2023-11-01 12:21:03.273 +1100,2023-10-31 22:19:31.023 +1100,mood,10
2024-01-19 23:31:59.537 +1100,2023-12-28 10:18:52.738 +1100,mood,8
2023-10-06 22:03:30.714 +1100,2023-10-03 21:55:53.019 +1100,hours_of_sleep,4
2023-10-08 00:36:23.129 +1100,2023-10-03 21:55:53.019 +1100,energy_level_upon_awakening,5
2024-03-21 20:23:08.839 +1100,2023-12-11 03:51:05.388 +1100,hours_of_sleep,0
2023-10-01 07:04:03.505 +1100,2023-09-26 23:36:29.242 +1000,mood,7.33
2023-12-05 05:12:56.217 +1100,2023-11-25 04:55:52.165 +1100,perception_of_productivity,0.72
2024-01-20 01:58:10.721 +1100,2023-10-28 06:40:22.281 +1100,hours_of_sleep,7
2024-01-20 01:58:26.087 +1100,2023-10-28 06:40:22.281 +1100,mood,4.4
2024-01-21 20:11:41.521 +1100,2022-09-10 20:36:44.882 +1000,perception_of_productivity,4.13
2023-10-25 20:02:22.352 +1100,2023-10-18 23:29:26.954 +1100,hours_of_sleep,8
2023-12-05 05:13:13.195 +1100,2023-11-25 04:55:52.165 +1100,mood,1.91
2024-03-21 20:23:16.111 +1100,2023-12-11 03:51:05.388 +1100,energy_level_upon_awakening,8
2024-01-18 03:45:48.334 +1100,2023-08-17 03:37:21.683 +1000,hours_of_sleep,8.5
2023-10-25 20:02:56.374 +1100,2023-10-18 23:29:26.954 +1100,energy_level_upon_awakening,5
2023-12-02 04:12:44.901 +1100,2023-05-09 10:46:26.748 +1000,hours_of_sleep,7
2024-01-18 03:45:52.884 +1100,2023-08-17 03:37:21.683 +1000,energy_level_upon_awakening,6
2023-12-02 04:13:03.922 +1100,2023-05-09 10:46:26.748 +1000,energy_level_upon_awakening,9
2024-01-18 03:45:57.158 +1100,2023-08-17 03:37:21.683 +1000,mood,5
2023-10-25 20:03:12.655 +1100,2023-10-18 23:29:26.954 +1100,mood,5
2023-12-05 05:13:21.798 +1100,2023-11-25 04:55:52.165 +1100,perception_of_productivity,5.03
2024-01-20 01:58:20.253 +1100,2023-10-28 06:40:22.281 +1100,energy_level_upon_awakening,7.1
2024-03-21 20:23:21.049 +1100,2023-12-11 03:51:05.388 +1100,mood,7.5
2023-10-06 22:03:46.663 +1100,2023-10-03 21:55:53.019 +1100,energy_level_upon_awakening,4
2023-10-08 00:36:40.674 +1100,2023-10-03 21:55:53.019 +1100,mood,7
2024-01-21 20:11:44.457 +1100,2022-09-10 20:36:44.882 +1000,mood,3.27
2023-12-02 04:13:06.656 +1100,2023-05-09 10:46:26.748 +1000,mood,7
2024-03-21 20:38:05.544 +1100,2022-09-10 20:36:44.882 +1000,perception_of_productivity,7.28
2024-03-21 20:38:07.900 +1100,2022-09-10 20:36:44.882 +1000,mood,7.06
2023-10-06 10:54:12.831 +1100,2023-05-09 10:46:26.748 +1000,hours_of_sleep,6
2023-10-06 22:04:58.474 +1100,2023-10-03 21:55:53.019 +1100,mood,6
2023-11-04 00:34:06.690 +1100,2023-07-07 21:18:03.549 +1000,hours_of_sleep,6
2023-11-04 23:56:33.609 +1100,2023-10-30 18:08:50.647 +1100,mood,0
2024-03-21 23:22:32.426 +1100,2024-03-19 23:01:33.627 +1100,perception_of_productivity,10
2023-10-28 04:45:47.398 +1100,2023-01-17 04:51:52.964 +1100,perception_of_productivity,10
2023-12-05 05:13:28.515 +1100,2023-11-25 04:55:52.165 +1100,mood,1.87
2023-10-06 10:54:24.630 +1100,2023-05-09 10:46:26.748 +1000,energy_level_upon_awakening,7.5
2023-11-01 12:47:55.935 +1100,2023-10-31 23:04:40.635 +1100,hours_of_sleep,8
2023-11-04 00:34:24.962 +1100,2023-07-07 21:18:03.549 +1000,energy_level_upon_awakening,9.6
2023-11-05 03:48:48.619 +1100,2023-01-17 04:51:52.964 +1100,perception_of_productivity,10
2023-11-05 16:53:12.848 +1100,2023-11-04 18:08:30.776 +1100,mood,8.5
2024-04-01 17:06:48.250 +1100,2023-12-07 11:21:17.225 +1100,energy_level_upon_awakening,8
2023-12-02 05:14:54.813 +1100,2023-01-17 04:51:52.964 +1100,perception_of_productivity,5.67
2023-10-28 04:45:52.330 +1100,2023-01-17 04:51:52.964 +1100,mood,10
2023-09-29 22:09:55.048 +1000,2023-09-26 23:36:29.242 +1000,hours_of_sleep,7.5
2024-03-22 02:18:43.410 +1100,2023-12-22 04:52:25.763 +1100,mood,7.02
2023-09-29 03:05:35.728 +1000,2023-01-17 04:51:52.964 +1100,perception_of_productivity,10
2023-09-29 22:10:00.195 +1000,2023-09-26 23:36:29.242 +1000,energy_level_upon_awakening,3.88
2024-03-22 03:03:56.421 +1100,2023-08-17 03:37:21.683 +1000,hours_of_sleep,7.25
2023-09-29 03:05:40.148 +1000,2023-01-17 04:51:52.964 +1100,mood,10
2023-09-29 22:10:08.107 +1000,2023-09-26 23:36:29.242 +1000,mood,6.23
2023-10-03 18:49:16.912 +1100,2022-09-10 20:36:44.882 +1000,hours_of_sleep,6.00
2023-10-30 14:08:49.872 +1100,2023-09-23 13:12:34.375 +1000,energy_level_upon_awakening,5
2024-03-22 03:04:01.984 +1100,2023-08-17 03:37:21.683 +1000,energy_level_upon_awakening,5
2023-10-06 10:54:41.398 +1100,2023-05-09 10:46:26.748 +1000,mood,7
2023-11-01 12:48:16.107 +1100,2023-10-31 23:04:40.635 +1100,energy_level_upon_awakening,6.6
2023-11-02 09:26:19.005 +1100,2023-11-01 13:39:31.640 +1100,perception_of_productivity,10
2024-04-01 21:18:06.651 +1100,2024-01-30 00:50:40.963 +1100,hours_of_sleep,0
2023-11-05 03:48:51.459 +1100,2023-01-17 04:51:52.964 +1100,mood,10
2023-10-25 23:17:25.625 +1100,2023-10-23 12:55:59.952 +1100,hours_of_sleep,8
2024-03-22 03:04:15.326 +1100,2023-08-17 03:37:21.683 +1000,mood,6
2023-10-01 11:33:27.241 +1100,2023-09-14 21:11:12.348 +1000,hours_of_sleep,6
2023-10-03 18:49:21.260 +1100,2022-09-10 20:36:44.882 +1000,energy_level_upon_awakening,4.67
2024-03-29 18:54:54.174 +1100,2023-12-07 11:21:17.225 +1100,hours_of_sleep,7
2023-12-05 05:13:35.171 +1100,2023-11-25 04:55:52.165 +1100,perception_of_productivity,1.36
2023-11-01 12:51:51.273 +1100,2023-09-23 13:12:34.375 +1000,energy_level_upon_awakening,5
2023-11-02 09:26:25.294 +1100,2023-11-01 13:39:31.640 +1100,mood,10
2023-09-29 05:16:58.583 +1000,2023-01-17 04:51:52.964 +1100,perception_of_productivity,10.00
2023-10-25 23:17:29.391 +1100,2023-10-23 12:55:59.952 +1100,energy_level_upon_awakening,10
2023-10-01 11:33:50.592 +1100,2023-09-14 21:11:12.348 +1000,energy_level_upon_awakening,8.5
2023-10-03 18:49:25.825 +1100,2022-09-10 20:36:44.882 +1000,mood,7.15
2024-03-29 18:55:01.823 +1100,2023-12-07 11:21:17.225 +1100,energy_level_upon_awakening,8
2024-04-01 21:18:16.082 +1100,2024-01-30 00:50:40.963 +1100,energy_level_upon_awakening,6.48
2023-09-29 05:17:02.714 +1000,2023-01-17 04:51:52.964 +1100,mood,9.17
2023-10-25 23:17:35.601 +1100,2023-10-23 12:55:59.952 +1100,mood,10
2023-10-01 11:33:56.389 +1100,2023-09-14 21:11:12.348 +1000,mood,5
2024-03-29 18:55:09.155 +1100,2023-12-07 11:21:17.225 +1100,mood,7
2024-03-22 05:19:02.202 +1100,2023-10-09 17:57:51.716 +1100,hours_of_sleep,10
2023-10-01 11:50:04.166 +1100,2023-09-14 21:11:12.348 +1000,perception_of_productivity,5
2023-10-28 10:50:52.249 +1100,2023-03-25 12:24:06.122 +1100,hours_of_sleep,9
2023-10-28 10:51:18.797 +1100,2023-03-25 12:24:06.122 +1100,energy_level_upon_awakening,5
2023-10-01 11:50:25.743 +1100,2023-09-14 21:11:12.348 +1000,mood,10
2023-10-28 10:51:22.126 +1100,2023-03-25 12:24:06.122 +1100,mood,5
2024-03-22 05:19:09.734 +1100,2023-10-09 17:57:51.716 +1100,energy_level_upon_awakening,10
2024-03-29 20:01:33.152 +1100,2023-07-07 21:18:03.549 +1000,mood,8
2023-11-01 12:53:05.925 +1100,2023-10-31 22:19:31.023 +1100,hours_of_sleep,8
2024-04-01 21:18:21.721 +1100,2024-01-30 00:50:40.963 +1100,mood,8.28
2024-04-05 08:00:35.295 +1100,2022-09-10 20:36:44.882 +1000,hours_of_sleep,0
2024-04-05 08:00:37.614 +1100,2022-09-10 20:36:44.882 +1000,energy_level_upon_awakening,4.74
2024-04-05 08:00:39.699 +1100,2022-09-10 20:36:44.882 +1000,mood,5.34
2024-01-18 06:01:02.339 +1100,2022-09-10 20:36:44.882 +1000,perception_of_productivity,6.25
2024-03-22 05:19:20.653 +1100,2023-10-09 17:57:51.716 +1100,mood,6.2
2023-10-03 12:43:51.157 +1100,2023-10-03 00:06:39.480 +1100,hours_of_sleep,7
2023-10-03 12:43:59.828 +1100,2023-10-03 00:06:39.480 +1100,energy_level_upon_awakening,5
2023-11-01 13:11:49.714 +1100,2023-10-31 23:04:40.635 +1100,mood,5
2024-01-18 06:01:03.948 +1100,2022-09-10 20:36:44.882 +1000,mood,4.84
2023-12-05 05:13:52.539 +1100,2023-11-25 04:55:52.165 +1100,mood,0.29
2023-11-03 13:00:34.467 +1100,2023-09-23 13:12:34.375 +1000,energy_level_upon_awakening,5
2023-10-26 04:33:43.327 +1100,2023-01-17 04:51:52.964 +1100,perception_of_productivity,10
2023-10-03 12:44:07.609 +1100,2023-10-03 00:06:39.480 +1100,mood,5
2024-03-22 07:01:15.120 +1100,2023-01-26 02:57:05.097 +1100,hours_of_sleep,8
2024-01-18 06:02:16.679 +1100,2022-09-10 20:36:44.882 +1000,energy_level_upon_awakening,2.9
2023-10-26 04:33:46.602 +1100,2023-01-17 04:51:52.964 +1100,mood,9.529306411743164
2023-10-07 02:17:14.605 +1100,2023-05-09 10:46:26.748 +1000,hours_of_sleep,7
2023-10-07 02:17:34.551 +1100,2023-05-09 10:46:26.748 +1000,mood,7.03
2023-10-31 13:44:36.878 +1100,2023-09-23 13:12:34.375 +1000,energy_level_upon_awakening,5
2024-01-18 06:02:19.150 +1100,2022-09-10 20:36:44.882 +1000,mood,2.54
2023-12-05 05:13:53.613 +1100,2023-11-25 04:55:52.165 +1100,mood,0.29
2024-03-22 07:01:23.751 +1100,2023-01-26 02:57:05.097 +1100,energy_level_upon_awakening,9
2023-10-01 17:38:49.819 +1100,2023-09-27 17:23:44.659 +1000,hours_of_sleep,8
2023-10-28 14:55:10.311 +1100,2023-10-23 12:55:59.952 +1100,hours_of_sleep,8
2023-09-29 07:27:57.534 +1000,2022-09-10 20:36:44.882 +1000,energy_level_upon_awakening,10.00
2023-10-28 14:55:16.122 +1100,2023-10-23 12:55:59.952 +1100,energy_level_upon_awakening,10
2024-03-22 07:01:30.820 +1100,2023-01-26 02:57:05.097 +1100,mood,8
2023-12-05 05:55:17.688 +1100,2023-01-17 04:51:52.964 +1100,perception_of_productivity,3.24
2023-10-07 02:17:25.557 +1100,2023-05-09 10:46:26.748 +1000,energy_level_upon_awakening,7.94
2023-09-29 07:28:03.930 +1000,2022-09-10 20:36:44.882 +1000,mood,10.00
2023-12-05 05:55:22.571 +1100,2023-01-17 04:51:52.964 +1100,mood,2.73
2023-10-28 14:55:23.827 +1100,2023-10-23 12:55:59.952 +1100,mood,10
2023-10-08 08:35:25.860 +1100,2022-09-10 20:36:44.882 +1000,hours_of_sleep,6.00
2023-11-03 13:55:52.688 +1100,2023-11-01 13:39:31.640 +1100,hours_of_sleep,8
2023-09-29 07:36:22.533 +1000,2022-09-10 20:36:44.882 +1000,hours_of_sleep,9.9
2023-10-28 15:19:25.055 +1100,2023-10-20 15:24:54.531 +1100,perception_of_productivity,2.7
2023-10-08 08:35:32.231 +1100,2022-09-10 20:36:44.882 +1000,energy_level_upon_awakening,4.42
2023-10-08 08:35:36.668 +1100,2022-09-10 20:36:44.882 +1000,mood,4.91
2023-11-03 13:55:59.436 +1100,2023-11-01 13:39:31.640 +1100,energy_level_upon_awakening,10
2023-11-04 04:46:07.538 +1100,2023-10-27 00:27:35.870 +1100,hours_of_sleep,6
2023-10-26 06:33:39.576 +1100,2022-09-10 20:36:44.882 +1000,hours_of_sleep,6.5
2024-03-22 07:36:26.557 +1100,2022-08-28 20:42:11.356 +1000,hours_of_sleep,7.45
2023-10-28 15:19:31.260 +1100,2023-10-20 15:24:54.531 +1100,mood,5
2023-10-05 07:14:16.196 +1100,2023-01-17 04:51:52.964 +1100,perception_of_productivity,9.66
2023-11-02 13:09:20.858 +1100,2023-09-23 13:12:34.375 +1000,energy_level_upon_awakening,5
2023-11-03 13:56:03.827 +1100,2023-11-01 13:39:31.640 +1100,mood,10
2023-11-04 04:46:31.823 +1100,2023-10-27 00:27:35.870 +1100,energy_level_upon_awakening,6
2023-12-02 11:03:46.637 +1100,2023-09-20 21:36:14.124 +1000,hours_of_sleep,5
2023-10-04 14:52:57.547 +1100,2022-09-10 20:36:44.882 +1000,hours_of_sleep,8
2023-10-05 07:14:20.491 +1100,2023-01-17 04:51:52.964 +1100,mood,10
2023-12-02 11:03:51.056 +1100,2023-09-20 21:36:14.124 +1000,energy_level_upon_awakening,5
2023-10-26 06:34:04.244 +1100,2022-09-10 20:36:44.882 +1000,energy_level_upon_awakening,8.03
2024-03-22 07:36:42.282 +1100,2022-08-28 20:42:11.356 +1000,energy_level_upon_awakening,5
2023-10-26 06:34:12.503 +1100,2022-09-10 20:36:44.882 +1000,mood,8.64
2023-12-02 11:03:55.808 +1100,2023-09-20 21:36:14.124 +1000,mood,5
2023-10-02 01:03:10.502 +1100,2023-09-26 23:36:29.242 +1000,hours_of_sleep,10
2023-10-31 14:59:45.305 +1100,2023-10-20 15:24:54.531 +1100,perception_of_productivity,1.6
2023-10-04 14:53:05.708 +1100,2022-09-10 20:36:44.882 +1000,energy_level_upon_awakening,8.15
2023-12-05 06:09:00.169 +1100,2023-11-25 04:55:52.165 +1100,perception_of_productivity,3.17
2023-12-05 06:09:19.424 +1100,2023-11-25 04:55:52.165 +1100,mood,1.7
2023-11-04 04:46:41.169 +1100,2023-10-27 00:27:35.870 +1100,mood,6
2023-11-07 02:40:58.705 +1100,2023-01-26 02:57:05.097 +1100,hours_of_sleep,8
2023-12-02 11:14:15.887 +1100,2023-03-25 12:24:06.122 +1100,hours_of_sleep,8
2023-10-02 01:03:17.707 +1100,2023-09-26 23:36:29.242 +1000,energy_level_upon_awakening,6.27
2023-10-02 01:03:25.567 +1100,2023-09-26 23:36:29.242 +1000,mood,7.62
2023-10-26 08:39:44.537 +1100,2023-10-23 12:55:59.952 +1100,hours_of_sleep,8
2023-12-02 11:14:23.708 +1100,2023-03-25 12:24:06.122 +1100,energy_level_upon_awakening,4.1
2023-10-02 05:14:26.482 +1100,2023-01-17 04:51:52.964 +1100,perception_of_productivity,10
2023-10-03 22:48:10.645 +1100,2023-09-26 23:36:29.242 +1000,hours_of_sleep,9
2023-10-03 22:48:19.864 +1100,2023-09-26 23:36:29.242 +1000,energy_level_upon_awakening,3.78
2023-10-03 22:48:27.010 +1100,2023-09-26 23:36:29.242 +1000,mood,6
2023-10-04 14:53:11.616 +1100,2022-09-10 20:36:44.882 +1000,mood,8.87
2023-10-26 08:39:51.638 +1100,2023-10-23 12:55:59.952 +1100,energy_level_upon_awakening,10
2023-10-02 05:14:30.559 +1100,2023-01-17 04:51:52.964 +1100,mood,10
2023-12-02 11:14:29.101 +1100,2023-03-25 12:24:06.122 +1100,mood,5
2023-10-26 08:39:57.905 +1100,2023-10-23 12:55:59.952 +1100,mood,10
2024-01-20 02:32:32.289 +1100,2023-06-28 03:46:07.052 +1000,hours_of_sleep,8
2023-10-31 14:59:50.310 +1100,2023-10-20 15:24:54.531 +1100,mood,1.52
2023-12-05 06:14:44.373 +1100,2023-01-17 04:51:52.964 +1100,perception_of_productivity,4.38
2024-01-22 00:05:01.436 +1100,2023-12-28 10:18:52.738 +1100,hours_of_sleep,0
2023-11-02 14:04:35.846 +1100,2023-11-01 13:39:31.640 +1100,hours_of_sleep,8
2023-11-02 14:04:40.016 +1100,2023-11-01 13:39:31.640 +1100,energy_level_upon_awakening,10
2023-12-04 11:08:29.321 +1100,2023-09-20 21:36:14.124 +1000,hours_of_sleep,7
2023-10-04 02:50:12.064 +1100,2023-01-17 04:51:52.964 +1100,perception_of_productivity,9.24
2023-10-04 16:07:54.759 +1100,2023-09-23 13:12:34.375 +1000,energy_level_upon_awakening,6.64
2023-10-06 01:55:49.837 +1100,2023-09-14 21:11:12.348 +1000,perception_of_productivity,6.88
2023-12-05 06:14:54.537 +1100,2023-01-17 04:51:52.964 +1100,mood,3.88
2024-01-20 02:32:59.940 +1100,2023-06-28 03:46:07.052 +1000,energy_level_upon_awakening,7
2024-03-22 08:24:52.245 +1100,2022-09-10 20:36:44.882 +1000,hours_of_sleep,0
2023-10-04 02:50:21.658 +1100,2023-01-17 04:51:52.964 +1100,mood,9.77
2024-03-22 08:24:54.795 +1100,2022-09-10 20:36:44.882 +1000,energy_level_upon_awakening,4.74
2024-03-22 08:24:56.898 +1100,2022-09-10 20:36:44.882 +1000,mood,5.89
2024-04-01 22:31:36.172 +1100,2024-03-27 06:20:28.493 +1100,hours_of_sleep,0
2023-10-06 01:55:52.666 +1100,2023-09-14 21:11:12.348 +1000,mood,2.89
2024-04-03 07:30:21.220 +1100,2022-09-10 20:36:44.882 +1000,hours_of_sleep,0
2024-04-03 07:30:23.548 +1100,2022-09-10 20:36:44.882 +1000,energy_level_upon_awakening,5.06
2023-10-04 05:46:17.245 +1100,2023-01-17 04:51:52.964 +1100,perception_of_productivity,10.00
2024-01-18 06:20:44.605 +1100,2022-09-10 20:36:44.882 +1000,energy_level_upon_awakening,2.56
2023-12-04 11:11:37.607 +1100,2023-09-20 21:36:14.124 +1000,energy_level_upon_awakening,5
2024-03-22 11:02:42.630 +1100,2023-08-17 03:37:21.683 +1000,perception_of_productivity,5
2023-11-02 14:04:46.201 +1100,2023-11-01 13:39:31.640 +1100,mood,10
2023-12-04 11:13:43.232 +1100,2023-09-20 21:36:14.124 +1000,mood,5
2023-12-05 09:10:22.041 +1100,2023-10-28 06:40:22.281 +1100,hours_of_sleep,5
2023-12-05 09:10:42.672 +1100,2023-10-28 06:40:22.281 +1100,mood,5.2
2024-01-18 06:20:47.290 +1100,2022-09-10 20:36:44.882 +1000,mood,3.72
2023-12-06 14:11:26.314 +1100,2023-10-28 06:40:22.281 +1100,perception_of_productivity,7.5
2024-01-20 02:33:10.876 +1100,2023-06-28 03:46:07.052 +1000,mood,8.4
2024-01-22 00:06:13.571 +1100,2023-12-28 10:18:52.738 +1100,energy_level_upon_awakening,5.01
2024-01-23 03:12:58.802 +1100,2023-08-17 03:37:21.683 +1000,hours_of_sleep,6.5
2023-10-04 05:46:22.595 +1100,2023-01-17 04:51:52.964 +1100,mood,10.00
2024-01-23 03:13:05.971 +1100,2023-08-17 03:37:21.683 +1000,energy_level_upon_awakening,6
2023-10-29 02:35:27.207 +1100,2023-01-17 04:51:52.964 +1100,perception_of_productivity,9.68
2023-12-07 04:02:09.093 +1100,2023-01-26 02:57:05.097 +1100,energy_level_upon_awakening,7
2024-03-22 11:02:45.377 +1100,2023-08-17 03:37:21.683 +1000,mood,6
2024-01-23 15:11:03.800 +1100,2023-01-26 02:57:05.097 +1100,mood,9
2024-01-24 07:45:09.644 +1100,2022-08-28 20:42:11.356 +1000,mood,7.58
2024-03-29 20:16:47.350 +1100,2024-03-29 20:14:44.741 +1100,hours_of_sleep,8
2024-01-18 06:21:19.550 +1100,2022-09-10 20:36:44.882 +1000,mood,3.19
2024-01-20 02:44:57.938 +1100,2023-01-26 02:57:05.097 +1100,hours_of_sleep,0
2024-01-20 02:45:03.405 +1100,2023-01-26 02:57:05.097 +1100,energy_level_upon_awakening,7
2023-10-29 02:35:32.657 +1100,2023-01-17 04:51:52.964 +1100,mood,10
2023-10-30 16:01:55.057 +1100,2023-10-23 12:55:59.952 +1100,hours_of_sleep,8
2024-01-20 02:45:23.126 +1100,2023-01-26 02:57:05.097 +1100,mood,7
2023-10-30 16:02:00.260 +1100,2023-10-23 12:55:59.952 +1100,energy_level_upon_awakening,10
2023-10-30 16:02:05.312 +1100,2023-10-23 12:55:59.952 +1100,mood,10
2023-09-11 16:27:34.967 +1000,2023-07-15 15:44:43.389 +1000,hours_of_sleep,0
2023-09-11 16:27:38.601 +1000,2023-07-15 15:44:43.389 +1000,energy_level_upon_awakening,0
2023-09-11 16:27:43.900 +1000,2023-07-15 15:44:43.389 +1000,mood,0
2023-10-07 15:45:03.509 +1100,2023-07-15 15:44:43.389 +1000,mood,0
2024-01-22 00:06:39.512 +1100,2023-12-28 10:18:52.738 +1100,mood,5.14
2024-01-23 03:13:11.150 +1100,2023-08-17 03:37:21.683 +1000,mood,6
2024-03-22 11:27:42.335 +1100,2022-08-28 20:42:11.356 +1000,mood,8
2023-12-02 16:52:23.617 +1100,2023-08-28 14:06:24.597 +1000,hours_of_sleep,8
2024-01-18 06:54:19.342 +1100,2022-09-10 20:36:44.882 +1000,energy_level_upon_awakening,5.5
2023-10-06 03:19:11.846 +1100,2023-01-17 04:51:52.964 +1100,perception_of_productivity,9.53
2023-10-07 15:44:52.555 +1100,2023-07-15 15:44:43.389 +1000,hours_of_sleep,0
2023-10-07 15:44:55.924 +1100,2023-07-15 15:44:43.389 +1000,energy_level_upon_awakening,0
2023-11-01 15:00:50.829 +1100,2023-11-01 13:39:31.640 +1100,hours_of_sleep,8
2023-11-01 15:00:54.618 +1100,2023-11-01 13:39:31.640 +1100,energy_level_upon_awakening,10
2023-12-05 09:10:32.905 +1100,2023-10-28 06:40:22.281 +1100,energy_level_upon_awakening,2.6
2023-12-06 00:30:40.553 +1100,2023-07-07 21:18:03.549 +1000,mood,9.5
2023-12-06 14:11:38.788 +1100,2023-10-28 06:40:22.281 +1100,mood,7
2024-01-20 04:32:07.712 +1100,2024-01-10 16:31:41.513 +1100,hours_of_sleep,10
2024-01-23 03:50:53.663 +1100,2023-10-28 06:40:22.281 +1100,hours_of_sleep,8
2023-12-02 16:52:30.809 +1100,2023-08-28 14:06:24.597 +1000,energy_level_upon_awakening,7.5
2023-12-06 01:48:21.919 +1100,2023-10-28 06:40:22.281 +1100,hours_of_sleep,6
2023-10-06 03:19:41.077 +1100,2023-01-17 04:51:52.964 +1100,mood,9.86
2023-12-06 01:48:41.415 +1100,2023-10-28 06:40:22.281 +1100,mood,5.9
2023-10-08 23:08:25.225 +1100,2023-09-23 13:12:34.375 +1000,energy_level_upon_awakening,5
2024-03-29 20:16:57.413 +1100,2024-03-29 20:14:44.741 +1100,energy_level_upon_awakening,5
2023-11-01 15:00:59.870 +1100,2023-11-01 13:39:31.640 +1100,mood,10
2024-04-01 22:31:44.622 +1100,2024-03-27 06:20:28.493 +1100,energy_level_upon_awakening,6
2024-04-03 07:30:26.792 +1100,2022-09-10 20:36:44.882 +1000,mood,6.96
2024-04-04 07:27:02.612 +1100,2022-09-10 20:36:44.882 +1000,energy_level_upon_awakening,6.48
2024-04-04 07:27:04.342 +1100,2022-09-10 20:36:44.882 +1000,mood,4.14
2023-10-26 23:37:04.154 +1100,2023-10-23 12:55:59.952 +1100,perception_of_productivity,10
2023-12-02 16:52:49.217 +1100,2023-08-28 14:06:24.597 +1000,mood,8
2023-10-26 23:37:11.290 +1100,2023-10-23 12:55:59.952 +1100,mood,10
2024-03-29 20:17:05.032 +1100,2024-03-29 20:14:44.741 +1100,mood,5
2024-04-01 22:31:51.522 +1100,2024-03-27 06:20:28.493 +1100,mood,8
2023-12-06 01:48:33.128 +1100,2023-10-28 06:40:22.281 +1100,energy_level_upon_awakening,5.6
2024-01-20 04:32:13.896 +1100,2024-01-10 16:31:41.513 +1100,energy_level_upon_awakening,7
2024-01-22 00:57:34.134 +1100,2024-01-15 23:15:23.994 +1100,hours_of_sleep,8
2024-01-23 03:51:01.552 +1100,2023-10-28 06:40:22.281 +1100,energy_level_upon_awakening,4.1
2024-04-06 08:51:08.153 +1100,2023-08-17 03:37:21.683 +1000,mood,5
